Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,99,0,6,9,75
5,70,0,8,6,56
7,53,0,5,9,47
7,90,1,4,1,79
9,83,1,8,7,82
3,71,1,5,0,48
7,89,0,8,1,80
1,92,0,4,6,65
4,56,1,8,3,36
4,74,0,8,9,57
5,40,0,4,9,24
7,68,0,4,8,58
7,90,1,4,8,82
4,43,1,7,2,26
7,62,1,9,2,53
3,67,0,9,8,48
6,55,1,4,9,43
2,51,1,9,7,29
9,92,1,8,0,90
5,60,0,4,5,44
6,84,0,5,6,72
4,56,0,4,7,36
7,79,0,4,1,67
9,52,0,9,0,49
7,91,1,6,3,82
1,97,1,8,0,72
1,71,0,9,1,45
9,76,0,8,2,72
9,89,1,5,3,85
4,54,0,7,5,35
9,51,0,6,7,47
3,88,0,5,8,71
7,96,0,5,3,86
6,54,0,8,0,42
8,73,1,6,4,68
9,45,1,8,4,42
5,56,0,7,8,45
1,87,0,8,5,65
3,88,1,4,4,64
8,96,0,8,9,92
6,59,1,4,9,47
8,48,0,5,4,40
9,98,1,7,7,96
4,44,1,9,0,24
1,62,0,4,4,32
1,72,0,7,0,45
4,77,1,8,6,61
7,95,0,9,6,88
2,53,1,8,9,29
3,56,0,5,7,35
1,96,0,8,6,71
5,58,0,4,8,44
1,72,1,5,7,47
8,40,1,7,7,32
1,52,0,5,2,23
1,85,1,7,9,61
2,66,0,6,3,42
2,45,1,4,3,20
6,98,0,4,0,87
7,45,1,7,5,36
5,72,1,8,1,61
1,69,1,9,8,43
1,85,1,8,0,59
3,74,1,6,0,53
2,62,1,7,9,40
5,49,0,6,5,32
6,90,0,7,0,78
7,58,1,6,2,49
4,90,0,7,9,74
7,67,1,4,1,57
8,62,0,6,8,57
1,43,0,6,4,18
6,59,0,7,5,47
8,58,0,5,1,48
5,81,1,5,7,66
4,66,0,4,5,46
2,96,0,8,7,77
6,73,0,8,7,60
6,43,1,4,0,29
1,95,0,8,6,70
9,77,1,9,1,74
6,46,1,9,7,35
3,87,0,9,1,67
4,46,1,9,3,29
4,89,0,7,1,71
3,91,0,5,6,67
3,65,0,4,4,43
3,65,0,7,8,42
4,93,0,9,4,77
7,58,0,4,7,47
4,48,0,5,1,26
9,59,1,8,2,56
1,81,1,7,5,56
8,84,0,5,6,78
7,89,0,4,9,77
2,55,1,6,7,30
8,93,0,7,2,87
1,56,1,4,6,29
9,61,1,4,7,57
9,52,0,5,9,51
2,51,0,4,5,26
7,49,1,7,3,38
3,40,1,9,5,21
7,71,0,7,8,66
9,69,0,4,2,62
4,47,1,5,1,30
1,60,1,7,4,34
2,61,1,6,6,39
1,57,0,9,2,34
5,41,0,8,4,29
5,87,0,5,3,70
7,83,1,5,6,75
9,48,1,8,1,46
9,42,0,8,6,37
3,93,1,7,1,73
3,65,1,4,2,43
3,60,1,4,4,39
4,69,1,6,6,54
8,67,1,9,5,63
6,75,0,4,6,62
8,65,0,6,5,61
1,73,0,6,0,46
8,47,0,5,4,39
4,49,0,5,0,26
1,87,1,9,6,62
8,94,1,7,3,92
4,82,1,8,4,68
6,89,0,8,0,77
8,93,1,9,7,89
4,53,1,6,3,35
3,79,1,9,2,63
9,94,0,8,0,91
3,54,1,6,3,33
9,56,1,8,2,52
2,92,0,7,7,67
2,57,0,5,8,31
2,71,1,5,4,47
6,77,0,6,8,65
3,62,1,9,0,39
9,85,0,8,6,82
4,62,1,4,6,41
1,74,1,7,5,51
4,78,0,8,3,60
1,54,0,4,8,27
5,92,0,7,2,77
4,63,0,7,0,43
8,67,1,5,1,60
8,55,0,6,2,45
7,55,1,8,1,46
3,79,1,7,5,58
1,78,1,8,6,52
1,45,0,7,4,20
3,41,1,9,4,21
6,93,1,5,6,81
7,52,0,6,5,40
6,83,1,4,7,71
6,86,1,4,8,77
6,98,1,9,1,88
3,48,0,5,1,27
6,73,1,7,0,61
8,56,1,5,6,53
2,66,1,6,3,46
5,68,0,4,8,53
1,76,0,8,5,51
1,82,0,4,6,57
5,61,1,6,6,45
3,90,1,7,7,68
4,63,1,5,3,45
3,46,1,4,2,24
1,73,1,4,2,46
1,87,0,8,9,66
5,51,1,5,7,36
6,62,1,8,2,53
3,54,0,8,7,34
9,72,0,7,1,68
5,96,1,4,4,79
8,52,0,9,4,46
1,62,0,5,6,35
5,77,0,7,4,62
3,71,1,9,8,55
1,84,0,7,2,58
4,89,1,7,8,73
5,74,0,6,0,58
7,40,1,6,2,30
1,86,1,7,3,60
3,97,1,6,5,79
2,84,0,5,9,64
9,44,0,4,7,39
6,96,0,9,6,86
3,52,1,5,7,33
8,93,0,4,5,83
8,44,0,6,5,38
2,99,1,9,5,78
6,71,0,5,2,61
7,90,1,8,9,83
2,60,0,7,3,36
2,63,1,4,5,40
1,99,1,4,6,73
8,57,0,8,2,51
1,60,1,8,3,34
9,93,0,7,5,90
6,49,0,6,0,35
7,63,0,5,6,53
7,79,0,5,0,68
3,86,1,5,9,66
2,60,1,6,8,37
9,64,1,7,9,62
8,91,0,5,8,85
7,99,0,4,8,90
9,96,1,4,3,89
4,98,1,4,1,79
4,62,0,8,6,45
1,61,0,8,3,37
8,43,0,6,4,33
3,73,1,5,0,49
7,95,0,8,9,88
2,45,1,4,5,19
2,67,0,8,6,45
7,70,1,4,2,60
6,74,0,5,9,62
3,78,1,6,1,55
9,81,1,7,9,79
6,62,1,7,6,51
6,45,0,4,0,30
1,55,1,8,1,29
4,41,1,8,2,25
6,63,0,4,3,49
6,56,1,5,4,45
5,84,1,4,3,66
1,40,0,5,9,16
8,45,1,6,2,39
5,44,0,6,0,27
5,96,1,4,6,81
7,84,0,6,9,76
4,99,1,8,5,83
6,94,1,5,1,82
4,89,1,7,1,73
3,68,0,7,2,47
7,51,1,6,7,45
8,78,1,5,7,73
4,86,0,8,9,70
2,42,0,7,9,16
3,87,0,8,9,68
1,40,1,8,9,15
8,66,1,7,7,61
3,87,1,7,6,68
7,63,0,6,1,51
5,83,0,5,0,67
5,58,1,4,5,42
7,98,1,5,7,90
9,47,0,4,0,44
5,94,0,7,2,78
1,83,0,8,0,57
1,86,1,5,9,59
2,41,0,8,8,18
6,69,0,5,6,57
9,69,0,9,7,67
8,88,0,5,8,80
5,78,1,8,2,64
1,84,0,9,9,60
7,71,1,6,1,59
5,40,1,7,5,29
6,77,0,6,4,65
7,52,0,6,3,41
3,50,1,5,5,27
3,49,0,7,5,28
5,87,1,9,2,77
6,98,0,5,1,85
9,65,1,4,8,62
5,95,1,5,7,78
1,94,1,9,3,73
4,59,0,8,5,42
5,56,1,5,2,42
5,56,1,4,7,44
7,43,0,5,2,32
4,44,0,9,1,26
1,99,1,4,6,73
5,62,1,7,2,47
7,85,0,9,8,78
6,91,1,5,2,82
5,49,0,4,7,33
4,85,0,9,1,65
2,67,0,7,8,46
4,72,1,8,0,55
3,82,0,6,2,61
1,65,1,4,1,37
8,94,1,8,6,90
5,89,0,7,4,75
4,87,0,8,7,74
8,68,0,5,1,62
7,66,0,6,7,55
2,57,1,4,6,33
1,79,1,9,4,54
4,99,0,7,1,79
8,49,1,6,9,47
2,97,0,7,6,73
3,81,1,8,9,63
1,44,1,7,3,18
1,49,1,7,3,23
3,89,0,8,7,70
5,60,1,8,5,46
3,63,1,6,8,43
1,77,1,4,1,50
1,42,1,8,4,16
8,79,0,6,5,70
2,70,1,7,7,45
3,80,0,7,3,60
2,76,0,9,6,52
3,41,1,5,6,20
7,41,1,8,3,32
1,78,0,6,0,51
8,88,0,9,2,86
2,81,0,6,1,57
3,83,1,4,2,64
9,73,1,9,4,71
7,81,0,6,0,68
4,59,0,8,4,42
5,72,0,6,1,54
2,43,1,5,3,19
8,84,1,7,5,79
4,83,0,7,8,66
9,50,1,9,9,51
5,81,0,6,5,63
9,86,1,6,9,84
4,44,0,6,1,23
5,64,1,6,7,50
9,88,1,5,4,85
8,99,1,8,8,93
3,76,1,5,9,56
1,73,1,5,8,47
3,48,1,5,3,28
4,45,1,7,0,27
2,57,0,5,8,35
1,53,0,6,8,28
7,58,0,5,7,48
8,53,1,6,4,47
7,79,1,9,4,75
5,56,1,8,9,40
1,99,0,7,5,76
7,74,0,8,0,65
7,68,0,9,8,61
9,81,0,8,4,81
3,56,0,7,6,37
9,98,0,6,7,97
1,82,1,9,4,58
1,47,0,9,2,21
4,40,1,6,5,20
9,84,0,6,6,81
6,92,0,7,3,80
3,75,1,5,8,55
1,46,1,4,3,20
4,85,1,5,9,68
9,44,0,5,1,39
3,63,0,8,8,41
9,67,1,4,3,63
7,82,0,6,3,74
4,56,1,5,9,40
3,76,0,7,0,55
5,59,0,5,1,42
5,42,0,6,2,24
3,76,1,5,6,59
9,65,0,9,8,63
4,54,1,8,4,37
5,90,1,8,3,77
4,87,1,5,1,69
5,47,1,8,6,31
7,52,1,7,5,46
9,87,1,4,6,84
7,42,1,5,7,32
5,40,1,7,8,26
7,48,1,9,9,41
5,70,0,7,4,55
3,80,1,7,4,60
7,93,0,9,3,85
2,65,1,6,2,41
9,56,0,5,6,55
1,95,0,5,4,68
6,73,0,5,6,61
7,48,0,4,1,38
8,95,0,7,8,93
9,90,0,5,8,84
2,52,1,8,8,28
2,44,1,6,4,20
5,80,1,9,9,68
5,52,1,9,8,39
6,40,1,4,0,24
3,64,1,9,1,44
8,86,0,6,9,81
1,43,1,7,4,17
6,75,0,9,4,61
4,91,0,9,5,78
1,49,0,8,7,24
7,67,0,7,0,56
9,96,0,5,9,95
4,45,0,6,8,27
4,66,1,9,3,49
6,95,0,8,7,85
3,51,0,6,4,30
6,91,1,4,0,78
7,87,1,8,8,80
3,42,1,4,7,21
7,85,1,9,4,78
3,72,1,8,3,53
2,49,1,5,7,26
4,70,1,6,8,53
8,54,0,6,6,47
9,46,1,7,3,43
7,75,0,8,6,64
1,53,1,8,5,28
3,95,1,4,2,73
9,87,0,8,9,85
1,53,1,6,2,23
9,42,1,8,0,38
8,88,1,7,4,83
1,92,1,7,7,65
6,85,1,6,5,76
5,89,1,6,7,75
6,42,1,6,6,31
5,61,0,8,1,43
6,58,1,8,7,47
5,74,0,5,3,58
5,51,0,9,4,37
4,93,0,9,7,79
3,44,0,4,4,25
3,49,0,8,4,29
4,80,0,5,5,65
9,72,0,5,6,68
2,52,1,7,8,30
9,74,1,8,6,73
1,90,1,5,5,64
1,71,0,7,9,45
5,50,1,4,3,34
6,87,0,7,9,78
6,77,0,4,1,62
3,63,1,9,8,45
7,74,0,9,9,70
9,58,0,6,4,54
8,45,1,6,4,38
6,79,0,7,2,67
8,93,1,6,2,87
5,84,0,8,0,66
8,83,0,7,4,77
4,81,1,5,2,63
8,74,1,8,1,65
2,43,1,7,8,21
5,72,0,9,9,60
9,52,0,4,5,47
4,95,1,6,2,78
6,75,1,6,6,62
1,93,1,6,8,65
9,82,0,7,8,82
1,58,0,8,0,33
5,82,1,4,1,66
4,51,1,6,7,34
3,50,1,8,0,30
6,45,0,5,2,31
2,51,1,9,6,29
3,66,1,5,7,46
5,80,1,4,4,67
9,64,0,6,1,59
2,81,0,5,2,57
8,42,1,9,8,38
2,42,0,8,9,21
5,59,1,8,6,46
7,67,1,5,0,60
8,62,1,6,2,56
1,87,1,9,8,67
6,42,0,4,6,32
1,81,1,6,1,55
2,63,1,7,5,42
1,82,0,5,8,56
5,79,1,7,3,68
9,45,0,5,9,39
6,59,1,4,1,49
1,50,1,6,2,23
1,71,1,9,6,44
2,99,1,6,3,76
9,66,0,5,6,62
3,60,1,8,4,37
1,83,0,7,7,58
5,87,0,9,7,72
7,89,0,9,4,81
6,52,1,6,6,38
1,61,0,6,5,34
5,74,0,5,7,59
5,86,0,8,8,71
6,61,1,7,4,50
3,67,1,8,6,48
5,60,0,9,0,43
7,85,0,8,7,78
5,57,1,5,2,41
5,70,0,8,0,58
5,99,0,7,5,88
3,85,0,9,7,67
1,76,1,4,2,52
5,60,0,9,0,42
9,53,0,4,2,45
1,64,1,7,4,35
3,66,0,9,7,48
4,79,1,9,8,64
1,99,1,9,8,74
1,99,1,9,3,75
8,62,0,5,7,53
2,70,0,6,4,45
8,86,0,9,2,81
7,99,0,5,4,90
2,68,0,7,1,43
6,86,0,9,5,76
6,69,0,8,0,55
3,90,0,9,5,72
2,65,1,9,4,43
1,59,0,4,8,32
6,77,0,8,6,68
5,58,1,9,5,45
9,66,0,9,6,63
1,64,1,9,9,37
7,79,0,5,4,68
5,77,0,7,0,65
5,91,1,4,8,77
2,62,1,9,4,40
3,68,0,7,3,49
7,54,1,4,5,46
6,98,0,4,4,83
2,42,0,4,0,16
6,49,0,9,1,37
2,54,0,5,3,30
2,95,0,9,7,74
2,55,0,9,4,32
3,56,1,7,6,38
2,58,1,6,1,37
4,50,1,6,7,33
9,87,0,6,4,83
6,44,1,7,3,30
1,44,0,8,8,22
8,97,1,7,5,92
7,53,0,4,3,42
3,89,0,9,7,72
1,65,0,8,2,39
5,47,0,4,9,32
4,44,0,9,1,28
8,46,1,9,6,41
1,55,0,4,3,27
1,94,1,7,3,70
4,53,0,6,9,36
8,76,0,8,8,71
5,95,0,9,1,78
2,80,1,5,0,56
6,43,0,9,6,32
5,75,1,6,7,62
2,87,0,9,2,67
3,95,1,5,1,74
9,56,1,7,3,53
7,86,1,9,1,77
7,75,0,8,1,66
6,45,0,7,4,36
8,55,1,5,9,51
4,68,0,4,4,51
8,75,0,9,7,70
4,77,0,7,8,60
8,76,1,9,1,69
9,87,1,8,0,83
3,96,0,9,2,77
3,87,1,7,5,65
2,49,0,6,4,25
3,80,0,7,7,63
3,75,1,5,7,58
5,68,1,7,1,53
5,53,0,8,8,39
2,43,0,7,3,19
6,83,0,7,0,68
5,95,1,8,1,81
6,81,1,7,5,70
1,75,0,8,4,50
5,89,0,5,6,74
9,84,1,8,8,86
2,52,0,5,5,26
1,85,1,5,5,61
9,57,1,8,1,54
9,72,0,7,6,69
9,60,0,9,1,55
6,55,1,6,6,43
8,54,0,9,7,49
1,93,1,8,0,68
4,96,1,7,8,82
1,44,1,5,7,18
8,45,0,4,8,38
1,77,0,6,4,51
3,42,0,9,3,25
4,87,1,7,0,70
8,51,1,6,8,45
6,75,1,4,3,65
7,72,1,4,3,62
8,75,0,4,3,67
2,72,0,9,1,47
8,70,0,8,3,64
3,60,1,6,1,36
7,66,1,8,7,59
3,66,0,4,6,42
7,47,1,7,9,39
2,95,0,4,1,70
6,76,1,8,1,64
3,71,1,4,1,47
3,65,1,4,0,42
9,41,1,8,5,38
7,51,1,8,5,41
5,61,0,7,0,45
7,56,0,8,0,47
9,46,0,7,5,42
1,82,1,5,5,53
7,43,0,5,3,32
6,76,0,8,2,64
9,77,1,4,8,71
1,71,1,6,5,47
4,50,0,4,0,30
9,40,0,8,2,37
4,64,0,7,0,47
3,81,0,4,2,59
9,91,0,5,1,85
2,63,1,9,4,41
4,92,0,8,2,74
6,82,0,4,6,69
2,95,0,9,7,74
8,56,0,4,6,49
8,47,0,7,1,40
1,98,0,7,9,75
3,84,1,7,9,63
9,66,1,9,6,65
5,91,1,6,9,78
6,57,0,9,2,43
4,66,0,8,6,49
2,61,1,8,0,37
8,55,0,5,1,48
6,41,0,5,9,26
5,44,0,8,0,28
9,57,1,4,8,52
1,42,1,8,1,18
5,66,1,6,1,49
6,93,0,5,5,84
5,56,1,5,6,41
6,55,1,9,1,44
6,45,1,5,3,32
7,90,0,8,2,78
4,46,1,5,4,28
8,89,1,5,8,84
7,53,0,9,1,44
9,77,1,8,4,78
7,79,0,4,7,69
3,54,0,5,5,30
3,86,1,5,3,67
8,86,1,5,9,81
5,87,1,6,7,74
4,72,0,8,2,55
8,82,1,5,3,78
6,66,1,6,8,54
2,68,1,4,4,45
4,96,0,4,5,78
4,76,0,9,1,57
6,44,0,9,8,30
6,68,1,9,7,55
1,71,1,6,6,45
8,99,0,4,8,91
6,92,1,9,4,82
3,45,1,7,4,23
9,41,0,9,8,39
2,45,0,4,4,19
8,85,0,7,8,79
3,82,1,6,0,60
5,43,1,7,9,29
6,95,1,4,9,86
6,68,0,5,7,53
4,98,0,7,2,80
3,64,1,4,7,43
4,48,0,9,4,33
1,95,0,5,1,69
4,42,1,6,8,25
1,65,0,6,3,39
1,87,1,8,6,61
6,82,0,6,7,70
5,66,1,8,6,51
4,75,0,6,5,54
3,71,1,6,6,51
1,40,0,6,3,13
6,96,0,8,9,83
2,92,0,9,0,69
8,93,0,8,4,88
5,55,0,7,7,43
7,90,1,4,9,81
2,87,1,4,5,64
8,50,1,9,4,48
2,65,0,4,1,40
4,79,1,6,9,63
1,94,0,9,4,70
5,40,0,4,9,24
9,65,1,8,2,62
1,67,1,7,1,41
9,92,0,5,2,88
8,97,0,7,3,91
6,48,1,4,1,37
7,99,1,9,3,92
3,98,0,4,3,76
1,83,0,8,5,58
5,61,1,7,4,47
2,47,0,8,6,24
5,97,0,8,6,84
8,88,1,5,2,81
9,81,1,8,8,80
2,66,0,8,6,44
3,78,0,5,6,55
3,58,1,6,1,37
1,64,0,6,9,38
8,77,1,9,2,72
6,60,0,5,2,44
8,63,1,9,5,58
9,63,0,9,3,60
5,99,0,8,3,83
3,99,0,9,0,79
5,58,1,4,5,42
5,89,1,7,7,75
5,86,1,4,7,70
3,41,0,4,7,19
4,53,0,8,4,34
9,92,1,7,9,91
9,71,1,9,5,72
2,81,0,7,4,58
8,71,0,9,3,66
8,67,0,6,3,60
7,87,0,5,3,80
8,78,1,8,3,76
3,79,1,9,5,60
6,81,0,9,5,70
1,86,0,7,4,63
7,79,0,8,8,72
1,52,1,9,7,28
9,51,1,6,9,45
1,47,0,4,5,19
1,54,0,9,8,30
7,65,0,7,4,59
2,51,0,6,9,29
5,82,0,8,3,70
8,90,0,9,5,85
8,85,1,6,3,78
3,66,1,6,7,46
7,57,1,6,6,48
3,84,0,6,4,61
6,75,0,6,9,64
6,88,0,6,5,77
3,90,1,5,6,68
7,66,0,8,1,57
3,48,1,4,8,30
8,94,0,8,6,91
4,78,0,7,7,61
1,40,0,7,4,13
4,46,1,8,2,28
7,65,1,6,1,55
4,46,1,5,1,28
6,91,0,4,2,79
9,46,1,9,0,44
1,47,0,9,0,21
5,55,0,6,6,42
7,42,1,8,9,38
1,84,1,9,7,60
4,49,0,8,5,34
6,89,0,5,6,77
2,46,0,5,0,23
5,60,0,8,0,44
1,92,1,6,8,69
6,76,1,6,4,64
6,70,1,6,6,59
4,62,0,9,5,42
8,96,0,4,3,89
4,66,0,4,0,46
8,95,1,6,3,89
8,61,0,8,9,56
5,78,0,5,9,63
4,96,1,7,7,82
2,66,1,5,0,44
3,93,0,5,1,69
3,88,1,7,7,66
4,43,0,6,1,24
4,63,1,5,9,46
5,62,0,7,8,48
4,87,1,9,2,73
8,58,1,8,2,52
6,81,1,8,5,71
6,42,1,8,2,32
8,66,0,6,8,60
7,42,0,5,7,33
8,67,1,5,3,60
2,56,0,4,5,31
9,70,1,8,7,66
1,49,1,6,3,22
8,88,0,7,4,82
4,61,0,6,6,42
4,69,0,5,7,50
5,88,0,8,6,75
8,60,0,4,7,53
5,75,0,9,3,61
8,92,0,6,0,88
1,62,1,4,5,32
9,77,0,5,4,71
6,51,1,7,3,40
3,64,0,6,1,43
8,93,0,9,0,88
9,96,1,5,8,94
6,59,1,8,1,46
7,88,1,6,8,80
1,88,1,4,5,62
5,81,0,6,5,69
5,46,0,5,1,29
4,68,1,5,5,47
6,87,1,4,2,73
7,68,0,9,6,62
9,52,0,5,9,48
1,42,1,6,3,13
6,41,0,9,8,28
7,55,0,4,4,45
3,69,1,5,9,49
8,77,1,5,2,68
5,45,1,6,0,26
9,84,1,5,0,80
5,46,0,6,3,30
9,44,1,8,9,42
4,95,0,9,9,80
9,46,0,6,3,42
5,73,0,7,8,59
9,71,0,5,7,70
3,88,1,8,3,68
4,52,0,9,5,34
9,69,1,4,6,65
6,64,0,7,9,53
2,60,1,4,7,33
7,99,0,7,3,90
2,98,0,8,0,72
2,60,1,9,4,35
1,67,1,8,0,41
3,87,1,8,3,71
6,97,1,7,6,87
8,59,0,6,6,53
9,73,0,9,0,69
7,44,0,4,8,34
4,57,0,6,1,40
6,99,0,6,4,87
5,78,1,5,5,63
8,82,1,4,0,76
1,96,0,7,1,71
1,96,1,5,6,70
6,50,0,5,5,40
2,93,0,8,5,74
5,56,1,7,5,42
1,87,0,6,6,64
7,84,1,9,9,79
1,61,0,6,8,35
4,76,1,6,8,59
9,59,0,8,1,53
1,87,0,6,1,60
4,99,1,4,4,81
6,93,0,6,9,79
6,93,0,6,6,78
8,87,1,4,2,80
1,87,1,8,2,62
7,85,1,5,3,76
1,45,0,7,2,15
7,73,1,8,2,64
3,53,1,6,7,33
8,87,1,5,6,81
3,62,0,7,6,42
1,59,1,7,9,34
8,52,0,7,1,44
3,86,0,4,8,65
2,83,1,4,5,59
1,80,0,5,2,53
3,71,0,6,8,51
2,65,0,5,8,42
2,89,0,6,5,68
6,92,0,8,9,82
1,53,1,7,5,27
2,91,1,7,7,69
6,96,1,4,7,84
3,75,0,8,5,53
4,47,1,9,6,31
1,79,0,8,3,53
8,61,0,6,0,53
7,61,0,8,3,52
7,55,0,4,7,42
3,66,1,6,7,46
3,95,0,5,1,70
2,99,1,6,6,74
1,99,1,5,0,74
7,49,0,9,1,37
7,64,1,6,7,56
2,70,1,7,9,49
7,60,1,9,3,54
8,66,0,5,2,58
1,56,0,4,1,29
9,72,0,9,5,70
7,70,1,9,3,62
3,89,1,9,2,69
8,81,0,5,2,74
7,65,0,5,9,57
8,60,1,6,2,53
6,75,0,7,7,63
9,40,0,9,8,35
5,43,1,6,8,31
3,43,1,6,4,22
3,65,0,7,0,41
1,43,0,6,9,16
8,88,0,7,4,81
2,48,0,4,0,22
3,69,1,7,8,49
8,90,0,8,9,89
8,84,0,7,7,80
4,43,1,7,6,23
4,44,1,8,1,29
5,84,1,7,1,70
6,62,1,5,3,47
5,55,1,6,8,42
7,61,1,6,8,53
2,76,1,4,7,51
7,47,0,4,4,36
7,87,0,8,6,79
1,72,1,5,8,46
7,94,0,4,2,82
5,99,0,6,3,84
3,77,1,4,1,55
3,82,1,4,8,62
4,55,1,7,6,38
2,44,1,4,5,19
2,55,1,8,4,34
1,46,0,6,6,22
5,90,0,8,2,76
4,40,1,8,4,23
2,48,1,9,1,26
3,57,0,5,4,32
7,84,0,9,6,77
7,97,0,9,9,90
4,86,1,7,6,70
5,42,1,8,8,28
5,63,0,5,2,47
6,67,1,6,7,56
9,49,0,6,4,48
2,48,1,5,6,24
5,52,1,8,0,37
3,87,0,8,0,65
4,74,0,7,3,56
6,93,1,7,4,83
8,62,0,9,9,58
1,86,1,6,2,60
8,56,0,7,5,50
7,85,0,5,2,73
1,46,1,6,4,20
2,91,1,8,0,68
3,55,1,6,2,35
1,92,0,4,6,65
9,79,0,6,2,75
8,75,1,7,4,70
2,59,0,5,6,33
9,63,1,8,1,63
7,86,1,8,2,79
9,44,1,7,3,41
6,84,1,7,4,72
6,45,1,7,8,32
4,67,0,4,8,46
2,98,0,5,3,72
7,44,1,4,8,31
5,88,0,7,3,73
6,78,1,5,1,66
2,77,0,7,9,55
5,41,0,5,0,25
4,82,1,8,6,68
9,78,0,4,3,70
6,93,1,9,7,83
2,60,0,7,7,37
1,79,1,7,7,54
5,76,1,6,5,61
9,98,1,9,8,101
6,57,1,8,3,46
7,93,1,7,4,83
5,87,1,4,3,72
6,85,0,8,4,72
5,51,1,7,1,33
9,56,0,4,4,51
6,76,1,6,9,65
8,85,0,6,7,76
2,77,1,4,8,53
9,54,1,8,6,52
5,46,0,4,6,30
7,53,1,9,5,45
1,89,1,4,1,60
5,40,1,6,9,29
2,77,1,6,9,58
6,42,0,6,8,30
1,76,1,9,4,52
3,83,0,7,5,63
5,70,1,9,0,56
4,82,1,7,4,68
3,52,1,9,5,33
5,87,1,5,9,70
8,57,0,7,1,50
4,56,1,8,6,40
1,56,1,8,3,30
7,50,1,6,4,41
8,59,0,9,2,53
3,49,0,4,4,24
6,68,0,6,3,55
2,87,0,4,9,62
7,73,1,9,5,67
8,56,1,6,1,49
6,93,0,6,2,79
6,91,1,8,9,82
5,81,1,4,0,62
8,52,0,5,6,43
1,83,1,5,8,57
4,86,0,6,1,68
4,78,0,9,6,59
3,66,0,6,2,45
3,93,0,8,4,73
4,92,0,4,5,76
1,65,0,6,7,38
2,67,1,9,3,48
9,52,1,5,1,47
2,51,1,4,2,29
5,83,0,6,7,69
9,67,0,4,6,63
9,41,0,8,5,40
8,76,1,5,4,70
1,96,1,9,4,69
1,96,0,4,0,68
9,73,0,5,5,69
8,62,0,6,8,55
9,97,0,9,7,96
7,91,0,9,9,84
3,84,1,7,0,64
3,68,0,4,5,49
2,74,0,5,2,49
5,50,0,4,5,34
3,87,0,6,8,67
6,72,1,6,5,60
2,90,0,9,7,69
3,50,0,9,5,30
5,48,0,5,5,34
1,53,1,8,6,28
1,48,0,4,9,19
9,78,1,4,3,74
7,87,0,6,7,78
1,42,0,4,3,12
8,68,0,5,6,63
3,58,0,7,0,38
8,75,0,9,8,71
5,71,0,6,9,57
1,46,0,9,8,20
7,94,0,9,6,88
5,67,0,9,7,54
6,83,1,7,1,69
6,57,1,4,9,48
8,99,1,8,9,95
