Area,Bedrooms,Bathrooms,Floors,YearBuilt,Garage,LocationScore,Price
4793,1,1,2,1963,0,1,947734.535811557
1179,4,3,2,2020,1,4,288817.940019229
1292,2,3,2,1972,0,8,318155.845067933
2862,1,3,2,1992,1,3,569510.123378054
4684,3,2,2,1971,1,5,995675.744925322
864,2,2,2,2009,0,10,189398.948511215
3368,1,1,1,1976,0,5,737826.532496062
2827,5,1,1,2005,1,5,631166.72114124
3495,3,1,1,1951,0,9,802320.854658476
2295,5,3,2,1988,1,8,590838.033836459
1191,1,3,2,2000,0,8,271042.067557565
4361,5,3,2,1968,0,1,913401.009078848
3078,1,3,1,2011,0,1,638761.35627081
3899,1,1,2,2020,0,2,798183.834393545
1000,5,2,1,2016,0,8,292653.67359881
3904,1,2,2,2012,1,10,826386.417761746
3254,2,3,2,1954,0,1,707459.871838055
4445,1,2,2,2021,1,4,942633.201374998
1604,4,2,1,2010,1,9,404290.121082103
3531,1,2,2,2020,1,2,729398.983614549
3573,4,3,1,1956,0,3,773977.875422533
2370,1,1,2,1999,1,6,501577.468704311
3490,1,1,2,1995,1,10,759460.96737209
4640,5,2,2,2021,1,3,1014135.9671305
1828,2,1,2,2023,1,4,424142.682086909
1302,2,1,1,1963,1,9,371556.060241796
1670,3,3,2,2022,1,9,417688.882007511
1006,5,3,1,2018,0,10,321314.946678112
2284,5,2,2,2014,1,5,552539.684924393
1663,2,2,2,2014,1,7,392643.892452539
3590,5,2,2,2006,0,9,802021.018251219
1363,2,3,1,2011,1,8,345129.339770799
4991,5,1,2,1969,0,7,1081194.19269321
2557,1,3,1,1975,0,8,536416.980869526
2478,2,3,1,1993,1,5,523966.490413876
4042,2,1,2,2016,1,5,879757.434836857
1859,4,1,1,2019,0,5,454253.095814532
2522,5,2,2,2011,0,1,586040.89582007
4114,5,1,1,1994,0,6,899674.300463912
3957,2,1,1,1960,0,5,850580.615686332
3425,1,1,1,2021,1,8,756835.725650429
3529,1,1,1,2023,0,8,764490.733973874
2397,1,2,2,1983,0,2,483911.479466447
3860,5,2,1,1995,0,6,822576.205071134
3493,4,1,2,1981,1,10,778885.768831193
4427,2,1,1,1954,0,10,939965.397261434
2163,3,2,2,2012,0,6,484551.971821693
2781,4,2,2,1978,1,3,583282.741716553
2463,3,1,1,1997,1,1,588642.315303379
2329,4,3,1,1965,0,7,534948.850277857
2838,1,2,2,1974,0,10,621917.610414424
4102,5,2,1,2021,0,5,926513.724769076
3037,3,2,1,1978,1,10,633775.69326197
2106,4,1,1,2001,1,5,483407.653202207
4829,5,1,1,1995,0,8,1035122.06816051
3475,3,2,1,1974,0,5,741592.248863734
2082,2,1,1,1972,0,5,452062.835232151
1509,4,1,1,1983,1,1,400978.369961121
4548,2,2,1,2016,0,2,962436.471893181
1463,1,1,1,1983,0,5,346550.881715721
2798,2,3,2,1981,1,7,631778.006795273
4245,2,1,1,1978,0,3,848015.673846363
4543,4,1,1,1958,1,1,919607.57412135
2295,1,2,1,2015,1,2,461764.806919209
4104,2,2,1,2006,0,3,868794.142604151
4563,5,3,1,1988,1,9,1020394.24281744
2653,3,1,2,1956,1,8,599345.9088111
2091,2,3,2,2018,0,4,455985.577331497
4381,1,3,1,1957,1,8,990493.039386069
4257,2,2,2,1967,1,9,902827.410225588
2436,3,1,1,1998,0,3,554395.486402902
4496,1,2,1,1965,0,6,937247.823400525
3799,4,3,2,1970,0,8,837276.51220535
3952,1,3,2,1959,0,10,874815.938715419
1498,4,2,2,1953,0,7,407163.259567286
2960,1,2,2,1993,1,9,648011.263577879
4897,3,2,2,1957,1,7,1075380.06798105
1654,3,2,1,2004,1,1,397897.284053751
4274,1,2,1,1968,1,9,916985.928470248
2507,2,3,1,2013,1,5,571506.373566426
3577,3,2,2,1989,0,6,756199.779628879
2533,4,1,1,2000,0,2,549947.515166723
4310,4,3,2,1958,0,2,908484.118006182
1002,5,3,1,1979,0,4,299934.417910723
4055,4,1,2,2005,1,4,880619.972111473
1566,5,1,2,1993,0,5,350757.149384624
3127,1,3,1,2008,0,7,653314.069420923
3731,1,2,1,1964,1,1,704218.383869696
997,1,3,1,2017,1,10,257037.684952946
2730,2,3,1,2019,0,4,593941.126627429
4382,2,1,2,2010,1,9,939996.603778326
1408,5,3,1,1972,1,8,435103.858788285
4072,4,2,2,1996,0,3,887772.651022876
1947,4,1,1,1966,1,6,480661.296327229
4197,1,3,1,2006,0,9,850318.274135743
3311,3,3,1,2003,1,8,737083.948647072
2594,2,2,1,2001,1,7,572633.429816908
1459,2,3,1,1971,1,7,343147.9700298
3611,1,3,2,1988,1,1,745202.983362166
2169,2,3,1,1962,0,5,438596.926151459
2786,1,3,2,2015,1,7,586303.669882967
946,5,2,1,2001,0,2,277052.335069124
4019,4,3,2,1963,0,6,873227.13270017
3711,3,3,1,2022,1,2,795539.939543142
2534,4,3,1,2023,1,3,585664.716633682
2643,4,1,1,2012,0,1,605784.766967529
1288,5,2,2,2020,1,3,341705.263021895
3776,2,1,2,1977,1,7,829709.353273276
2759,3,1,1,1995,0,5,580634.878940294
3185,2,2,1,1977,1,4,678534.251231332
3719,4,1,1,1951,0,8,821649.422126592
2602,1,1,2,1966,1,8,621716.342708428
4861,4,1,1,2008,1,1,1070944.37148787
4169,2,2,2,2001,1,9,920370.701736404
1062,4,3,1,1953,1,9,313185.844004018
1423,1,2,2,1952,1,2,360626.733890679
1816,5,2,2,1986,1,2,464066.958076128
4443,2,2,2,1973,0,8,885258.449440734
2849,4,1,1,2021,0,6,606451.728803619
4523,2,3,2,1984,1,3,972053.508133948
3908,5,2,1,1951,1,2,817925.810861226
4890,4,2,2,1982,0,5,1020560.27488108
2856,4,3,1,1959,0,8,632704.626408551
3970,2,3,2,2011,0,6,840595.852343854
2482,2,3,2,1992,1,3,548214.244794345
3055,1,1,1,2018,1,9,660771.989320829
1954,5,3,1,2008,1,8,515432.687931008
3991,1,1,2,1958,0,10,836569.403363737
2496,4,2,2,2009,0,6,557584.246698219
4791,2,1,1,2012,1,1,967470.697396412
2448,4,3,2,2001,0,2,576208.655049646
2245,4,1,2,1972,1,4,504212.562151313
4999,3,3,1,1979,1,2,1038624.24179997
4723,3,1,1,1992,0,3,993927.264371724
1053,4,2,1,2017,1,8,280426.468440423
3983,2,1,2,1970,0,9,835451.181505143
3357,4,2,2,1992,0,6,745861.504357977
898,3,3,2,2022,1,4,243437.934405511
3000,2,2,1,1956,1,2,708790.234382516
3761,4,3,2,1965,0,7,826329.28641702
4577,5,3,1,1972,1,10,1040845.95547198
3669,5,2,1,2007,0,7,766257.648812676
4034,4,2,2,1980,1,10,880283.771702132
4591,2,1,1,2018,0,9,943027.157627082
1756,4,1,2,1955,0,5,387340.506917434
4867,4,2,1,2014,1,10,1078788.44984593
960,3,2,1,2008,1,4,284889.126694435
2100,5,2,1,1977,0,10,518615.762615863
4787,3,2,2,1967,0,6,1009733.88441084
2327,3,3,1,1959,0,2,500628.62403219
2018,4,2,2,1956,0,2,487439.993779663
3904,3,2,1,1986,1,9,914581.386353872
3535,5,2,1,1994,1,7,806376.392619592
1754,3,2,1,1965,1,7,450284.076601789
4246,5,3,2,1963,0,5,937784.258744887
1845,3,1,2,1960,1,7,458887.62266164
2493,5,1,2,1983,0,9,551486.330547247
4236,3,1,2,2009,0,10,899996.592996447
1362,3,1,2,1962,1,5,347286.73600114
3285,2,1,1,1988,1,9,754312.273602049
4154,5,3,1,1993,0,1,878346.644459058
1025,5,1,2,1977,0,3,218167.522223997
1759,5,3,2,1989,1,7,440343.389338969
3867,1,3,2,1965,0,4,835653.267858706
1615,3,1,2,1999,1,2,339402.610222804
3920,5,1,1,1977,1,3,833577.00269671
816,1,1,2,2017,0,7,203097.964651278
2043,2,2,2,2009,0,8,459700.718680963
3005,5,3,2,1961,0,9,707861.662038831
3324,5,1,2,1965,0,6,707081.830988861
1869,1,2,1,2002,0,10,415675.535145783
4244,3,3,1,2003,1,9,965679.635060077
3365,2,2,2,1998,1,4,700177.59515908
1860,5,2,1,1985,1,5,498922.807407757
3127,3,1,1,2011,1,1,651714.575352783
4220,2,3,2,1975,0,9,927234.53943444
1101,4,2,2,2005,1,9,302876.037244672
1406,4,3,1,1971,0,9,334577.293559026
3970,2,1,1,2022,0,3,815577.523821185
1499,1,3,1,2018,0,10,368423.229704475
1939,2,2,1,1998,0,10,447628.650127463
990,2,2,1,1951,0,10,285961.735286084
3100,1,3,2,2002,1,8,719893.501523372
1780,1,2,1,1956,0,3,355424.233367054
3775,3,2,1,1969,0,6,781593.271377241
1984,3,2,1,1979,1,5,434180.155659479
4127,1,1,1,2016,1,8,856920.0975988
4194,4,1,1,2008,1,3,935405.363020494
927,4,2,1,2015,0,1,252409.048766668
2865,2,3,1,1952,0,9,621374.310676939
2616,5,1,1,2005,0,10,607922.435234429
1369,2,3,2,1966,0,9,370907.637629148
2695,2,2,2,2001,1,3,640700.271274478
3533,5,2,1,1956,1,2,794084.60833607
4663,1,3,2,1954,1,4,918117.970398815
4814,4,1,2,2003,1,8,1054232.177369
3701,2,3,2,2010,1,6,831568.703238534
2486,5,3,2,1965,1,10,612815.807896402
3809,3,2,2,2016,0,1,822962.87296837
954,2,1,2,2008,0,8,248726.63436151
3337,4,3,1,1996,1,5,721533.864562953
2209,1,1,1,1997,1,6,467644.039165913
4857,2,2,2,2013,1,5,1023371.19532175
1584,2,1,1,1999,1,10,413435.369455959
3975,5,2,2,1990,0,5,850852.898291985
3606,3,1,1,2021,0,3,776597.565829191
1337,3,3,1,1971,0,4,331992.31484803
2641,1,2,1,2003,1,5,617854.931626978
3255,4,3,2,1954,1,2,725958.005546765
1324,1,2,1,1966,1,6,273931.039543094
3750,2,1,1,1990,0,2,797171.76162242
4931,2,1,2,1984,0,4,1076651.38029085
4915,3,2,2,1989,0,1,1043809.58362166
3168,4,2,1,1971,1,4,690908.46020474
4647,5,2,2,1997,0,7,983351.353020526
3501,4,1,1,2002,0,8,745375.779162315
1771,2,2,1,1959,1,2,455282.797009551
1966,5,2,2,1967,0,3,454016.813986964
3574,4,3,2,1998,1,1,771233.915154299
2782,4,2,1,2020,1,7,638439.083896819
1653,5,3,2,1979,1,4,414677.323784858
4946,2,3,1,1968,0,10,1093391.25899469
4536,4,3,2,2004,0,8,960838.062724592
4569,5,1,2,2009,1,5,1028316.08079151
1374,2,3,2,2021,0,9,339852.302411277
4061,5,2,2,1970,1,6,935375.662835692
1948,5,1,2,1975,0,10,514165.476093351
2515,4,1,1,1977,1,2,571119.940847827
4654,2,1,1,1988,1,1,965923.409760021
3291,4,1,1,1982,0,1,707854.470796628
3460,1,1,2,1989,1,9,746630.733199872
3924,1,1,1,1978,1,1,776375.838606532
3851,2,1,1,1969,1,3,858012.009344627
804,5,3,2,1969,1,2,252944.62543453
1676,4,2,2,2023,1,4,383122.520373724
1791,4,2,2,1961,0,1,359511.91699504
4942,2,3,1,1974,0,1,968210.019176741
1435,2,3,1,1974,1,4,368262.010917188
2493,1,1,2,1953,0,4,510125.560789823
2482,3,1,1,1953,1,7,556027.483297372
919,2,3,1,1958,1,8,270003.856613471
1630,3,1,2,1964,1,8,387098.796097456
4475,2,2,1,1975,1,8,977663.110401338
2169,5,2,2,2020,1,9,538181.601609418
1540,5,1,1,1981,0,1,363896.760421269
916,1,1,2,2001,0,9,185881.239857713
3638,1,1,1,1981,0,10,752106.716089029
1950,3,2,1,1958,0,8,469063.384139672
2731,2,1,2,1962,0,1,557149.454628399
1812,4,3,2,2005,0,7,468534.238894612
2464,1,1,2,1993,1,9,608460.033099835
1881,4,3,2,1979,0,4,459609.632521033
1312,4,1,1,1965,1,9,386720.797284129
3649,2,1,2,1961,1,1,790818.180957402
1359,3,2,2,2023,0,9,325443.449433195
4472,2,3,2,2015,0,6,952403.791620186
4143,1,3,2,1967,1,4,930933.023652436
4870,4,3,2,1962,1,5,1045911.15643431
2270,2,2,1,1973,1,7,494016.817528048
1380,2,3,2,1961,1,10,327645.139422118
3094,2,2,2,2009,1,4,670361.765404161
3947,1,1,2,2009,0,8,803313.197783924
2479,3,1,1,1950,0,3,581650.485685931
4306,2,3,1,1992,1,2,922608.913364782
3544,1,1,1,2004,1,1,766093.157744013
4156,4,1,2,1989,1,6,901733.365235508
4845,5,3,2,2013,1,2,1026495.0700561
2043,1,1,1,1983,1,8,429865.151364168
3918,5,3,1,1983,1,10,870900.206445547
2941,2,3,2,1997,1,4,658888.137350668
3859,2,1,2,1982,1,9,851797.073294199
3759,1,1,2,2017,0,4,793879.901826467
3065,5,1,1,1979,1,4,657783.182905454
3279,2,1,2,2020,1,8,719789.770352543
2435,4,1,2,2020,0,8,530348.45422769
2557,3,2,1,1978,1,5,591436.649189613
2870,3,1,1,1972,1,3,644976.926387436
3649,2,2,1,1983,1,2,751495.673824339
4051,5,3,2,1964,1,9,941400.740179909
4530,2,1,1,2002,0,9,1016470.57353821
3289,5,1,1,1966,1,5,763670.893439617
2431,4,1,2,2013,1,8,566129.149011222
3616,5,3,2,2010,1,7,816286.357419757
1815,2,2,1,2006,0,3,396773.400458187
2148,4,2,2,1986,1,5,490581.653830575
3887,1,1,1,1956,1,9,840709.955166301
3639,3,1,2,1957,0,4,746338.435221142
1135,2,1,2,2017,0,3,213757.555335053
1695,2,1,1,1970,0,7,390490.042045339
4346,2,3,1,2010,0,8,928730.826644396
1651,4,1,1,2023,1,5,390920.74958907
2487,1,3,2,1978,0,8,514332.584434741
2731,5,1,1,1974,0,5,623443.600672851
4546,1,2,2,2007,0,9,931445.624035739
3227,4,2,2,1963,1,7,727926.391228367
2368,2,1,1,2015,0,5,557724.296353161
4800,3,1,2,2003,1,9,1053279.74423939
3538,2,3,2,2016,1,5,738371.683440458
4298,5,1,1,1979,0,8,906728.710724692
4713,3,1,2,1967,1,4,1008395.47731859
1866,2,1,2,2003,0,9,390816.982948525
3244,3,2,1,1970,0,6,656756.862969143
4907,1,3,1,2002,1,6,1052709.30028242
4173,4,2,2,1965,1,3,916623.393858022
4769,2,3,2,1977,1,3,1024064.95828198
3346,5,2,2,1953,1,4,762775.879545448
1553,1,1,2,2004,0,1,326967.23220819
2882,2,2,1,1964,1,6,622845.286308084
3574,1,2,2,2013,1,1,765703.374152199
3696,5,3,2,2014,1,4,869447.087210129
4985,2,3,2,1965,1,7,1055469.27481391
1575,5,2,2,1969,0,6,367481.494744793
2425,3,3,1,2013,0,8,525622.014514719
3869,5,3,2,1982,1,4,844131.744166657
1217,3,3,1,2018,1,9,335464.963111902
914,2,3,1,2018,0,10,194309.310911161
1416,3,3,1,2007,0,8,363179.260610808
4774,2,2,1,1988,0,5,1015897.8252574
4067,2,3,1,1985,0,6,821448.041001428
1625,4,1,2,2017,1,5,375520.48909306
2316,2,2,1,1970,1,6,528192.024496135
3946,3,2,1,2012,0,1,828613.25674239
1212,4,2,1,1955,0,4,317390.936706715
1528,4,3,2,1973,1,9,399071.579462091
4148,2,1,1,2002,1,4,913219.238169374
3608,5,3,2,1999,0,2,784570.765023908
1475,5,2,1,1961,1,6,363424.175332006
4265,4,2,1,2005,0,2,882413.953343456
3304,2,2,2,1964,1,3,733186.712732042
3767,5,2,2,1989,1,7,850140.528548923
3586,2,3,2,1990,0,4,780042.89751813
1922,2,1,1,2018,1,1,442728.06248073
4879,4,1,2,2018,0,9,997303.753680904
2371,4,2,2,1955,1,6,528697.934974414
2943,1,1,2,2016,0,9,605084.373987405
2487,5,2,2,1982,0,3,545998.395287706
4932,5,2,2,1992,0,5,1050891.11683559
4651,5,1,1,1970,1,9,1052178.73986543
4240,3,2,2,2014,0,6,935962.058809598
4566,2,1,1,1966,0,2,936877.729244925
3126,4,2,2,1957,1,1,686917.978466881
3714,5,1,2,2013,1,9,822164.156898568
4752,1,2,1,1977,0,1,975629.692430964
1395,5,1,1,1962,0,5,354063.022068348
1528,2,2,1,1962,1,1,373761.888875057
2165,2,2,1,1987,1,5,512960.968149564
1498,4,2,2,1974,1,5,322047.048723274
1195,3,1,1,2011,0,7,291186.376309072
4971,4,3,2,1972,1,7,1119802.50077225
3302,5,2,2,1970,0,10,739447.126817377
2619,1,2,2,2003,0,1,575281.045459082
1517,4,1,1,2012,0,9,367738.70499972
3582,3,2,1,1979,1,1,778773.086686049
4377,4,2,1,2017,1,5,926977.732690021
943,2,2,2,2022,1,7,227118.786060837
3940,5,2,1,1981,0,8,890137.289306575
3738,5,3,1,1973,0,2,840645.457005017
4436,5,3,2,1956,1,1,970860.722655012
4022,5,2,1,2021,1,4,860711.89393404
1967,5,2,2,1950,0,4,466495.11391518
3416,5,2,1,1952,0,10,804630.874016857
1862,1,3,1,1977,0,6,458971.661751294
2956,3,3,1,1992,0,1,631282.301691852
3782,5,1,1,1995,1,1,787903.303743555
4094,3,1,1,1950,0,3,883809.08998887
1956,5,2,2,1987,0,5,459300.922588625
1532,4,2,1,1984,1,6,412976.016039026
1753,5,3,1,2023,1,5,452626.805625441
3339,2,2,1,2023,1,5,705713.897355954
4124,1,2,1,2003,1,9,888256.109016485
4101,4,3,1,1973,0,2,913908.459176358
2342,4,3,1,1977,0,1,522671.150275819
1991,2,3,1,1971,0,6,425329.870913866
3793,5,3,2,1965,0,9,810883.895785084
3481,1,1,2,1962,0,7,712895.882828384
2017,4,3,1,2011,1,8,487146.593455726
2340,1,3,2,1992,1,5,543499.978397931
4036,4,2,1,1981,0,10,859178.76830471
3186,5,2,2,2016,1,4,763043.797143241
4519,4,2,1,2006,0,6,938371.19472897
2188,4,1,1,2014,0,3,549887.152313921
2656,3,3,2,2018,0,1,622337.963918862
2165,5,3,1,1998,0,4,513529.1562347
1299,2,1,2,1982,0,9,270607.66163076
2480,2,3,1,1968,1,4,556614.398450439
1310,5,2,1,1985,1,1,330328.976050337
2124,2,1,1,2019,0,4,429942.819423727
1955,5,3,1,1964,0,7,484275.240681186
2627,2,1,2,1973,1,3,553808.921753609
3941,3,1,1,1976,0,10,835327.353823761
4286,2,3,2,1998,0,6,905108.034135691
2610,4,2,2,1972,0,1,560627.279282357
3723,5,3,1,1982,1,4,888553.915427751
3014,1,3,1,1990,0,3,623407.134175011
4986,1,2,2,2005,0,1,1031222.02528486
1513,5,3,2,1978,1,3,395238.062305259
4402,3,3,1,1980,0,4,946218.755631472
4934,2,3,2,2014,0,5,1047527.21009027
4322,3,1,2,1967,1,6,954434.037165153
2043,1,1,2,1955,1,2,451261.151890466
4509,5,1,1,2001,0,2,968422.394872158
1881,5,3,2,1989,1,6,475661.926711704
1255,3,2,2,2014,0,5,302539.553691501
1694,3,1,2,1991,0,1,354005.052958483
2184,2,2,2,2017,1,3,489278.290564495
2758,4,3,1,1981,0,5,627631.684381638
3872,4,1,1,1959,1,2,850454.11391432
2796,2,3,2,2018,1,1,616707.119324756
1304,4,2,2,1958,1,9,346976.124663787
2014,1,1,2,2018,0,5,431373.002420103
2331,4,1,1,2010,1,2,518358.83788623
4240,2,1,1,1960,0,10,910830.599775164
1623,4,1,2,2017,1,4,391071.794302147
1728,5,2,2,2023,1,3,434114.023454937
933,3,1,1,1957,0,7,267620.076084564
2905,1,3,2,1998,0,1,591266.02725894
4427,5,1,2,1973,1,10,1000317.38452276
2652,5,2,1,1982,0,4,603230.254497134
4975,2,1,1,1968,0,7,1091529.83998952
3733,3,2,1,1951,1,10,826192.491788412
4084,3,2,1,2004,1,5,904179.114578777
3611,1,3,1,1960,0,4,759583.8362939
2050,2,1,2,1966,1,4,427292.387292163
4312,1,1,1,1991,1,2,885382.772612021
2056,4,1,1,2010,1,8,517211.77763571
4176,5,3,1,1952,0,4,901382.638484793
4286,1,3,1,1984,0,2,832693.59212901
4384,5,2,1,2015,0,9,963014.924576887
2196,2,2,1,1950,1,10,486891.592551225
4437,4,2,2,1956,0,7,961695.443314918
4130,2,3,1,1969,1,3,923778.677034951
3503,4,3,2,1992,1,7,810836.432770073
1270,4,3,2,1955,1,1,365416.395718499
2153,5,2,1,2004,1,1,494562.199463888
3583,2,3,1,1970,0,4,760020.841659112
3631,2,2,2,2000,1,4,757089.095079806
1157,1,2,2,1995,1,4,261298.913873998
3819,2,1,2,1984,0,9,792627.879192846
1467,1,1,1,1957,1,6,308731.925769701
1945,3,1,2,2017,0,3,467146.415633284
4985,3,2,1,1965,0,6,1002700.99262434
4519,3,1,1,2016,0,2,979053.472620114
3545,2,1,2,2020,1,2,786151.473123006
1339,2,1,1,2013,0,7,326294.816886975
3579,1,3,1,1951,1,3,736937.318297648
4936,4,2,2,1950,0,7,1018645.62221392
4575,1,1,2,2007,0,3,925289.907968411
3308,3,3,1,1950,0,2,728228.011408498
3579,1,3,2,1956,0,4,752876.590936017
1724,4,3,1,2018,1,4,400712.512622631
3756,2,1,2,1967,1,3,828905.119616412
2381,1,3,2,1981,0,9,570309.583204538
4124,3,2,2,1994,0,6,877135.020899635
1055,3,3,2,1982,0,5,273733.422589934
2638,2,3,1,2023,1,6,557878.782909263
2744,1,3,2,2022,0,8,587440.332097274
809,4,3,1,1998,0,5,244560.999450025
3671,2,2,1,1982,1,4,800071.413506444
1597,1,1,2,2020,0,7,342708.303769757
1815,5,2,2,2017,0,5,431143.912288089
2624,3,2,2,1977,0,4,565619.731586386
3936,4,1,2,2002,0,5,840238.38215704
2993,4,3,2,1993,1,4,691180.870062953
1023,4,1,1,2004,1,8,239411.572865772
4958,3,1,2,1959,1,8,1063741.2621298
4725,1,2,1,1963,0,1,976749.388390642
4800,2,1,1,1985,0,3,979737.882858973
2433,1,3,1,1983,1,4,526616.673900878
2952,2,2,1,1967,0,2,615140.138979614
1310,4,3,2,1965,0,5,320023.750661571
1184,1,2,2,1986,1,8,295947.094446259
1204,4,3,1,1990,1,2,320025.068950345
2800,5,1,1,1974,0,9,589487.142094155
3556,4,1,2,1957,1,7,808522.009286807
2468,4,1,1,1967,0,6,549350.027891326
2260,2,3,2,2017,1,8,574324.079386713
4436,5,2,1,1997,1,2,938408.786527532
3524,4,2,2,2019,0,5,748117.137281142
4978,4,2,1,2016,0,4,1052527.27553542
2848,5,1,1,1967,1,8,673930.636242151
4946,5,3,1,1967,0,1,1008430.81681571
1516,1,2,2,2005,0,3,311472.498697097
2623,2,3,2,1972,0,10,604383.004014346
2881,5,2,2,1984,1,8,651496.901339187
4219,5,1,1,1955,0,5,948050.659409406
2374,3,3,1,1975,0,4,520452.910028773
1049,5,2,1,2010,1,6,280315.669966453
1473,2,2,1,1964,1,5,369856.106444738
2965,4,2,1,1981,1,3,707190.434670611
1570,4,2,1,1961,1,5,404409.906468597
4762,4,1,2,1954,0,4,1040910.73498058
2784,4,2,2,2013,0,1,651715.883515924
1877,3,2,2,2020,1,1,410353.533001811
1035,5,1,1,1976,1,7,321459.78335149
1188,4,2,2,1994,0,4,261513.237267411
3837,1,3,1,1984,0,1,806022.56329466
2648,4,3,1,1975,1,6,615817.05273713
3614,5,2,2,1972,0,1,816873.755076052
4174,4,1,1,1962,0,8,933106.287824621
4078,3,1,1,1952,1,9,906844.58376336
2052,2,1,1,1978,1,3,466860.697487071
4781,2,2,1,2015,1,7,1034909.21691805
2922,5,2,1,2013,1,5,675944.271784414
2950,2,3,2,1977,0,3,632470.106472303
2129,2,1,2,1985,1,5,516864.454306311
2158,1,2,1,1955,0,10,520672.245491954
3282,5,2,1,1960,0,7,733858.520057445
2817,5,2,2,1987,0,7,650340.910075269
2131,2,1,2,1983,1,9,495241.380619319
2158,2,1,2,2016,0,8,440307.53895157
3977,2,3,1,1995,1,4,848989.1105597
2928,3,1,2,1978,1,5,690592.605026203
2980,4,2,2,2009,1,5,657255.603124205
937,3,3,1,2003,0,10,315263.586557533
4272,5,1,1,2018,1,2,959703.157739735
3632,1,1,2,2023,1,7,787437.453763655
4379,4,1,1,2023,0,7,955821.082149411
3831,1,1,2,1958,1,9,800269.832591624
4964,5,2,2,1959,0,9,1073169.28119438
3393,5,1,1,2017,0,4,781634.977758044
4618,1,2,1,2007,1,5,958236.766520662
4938,1,2,2,2001,1,7,1070128.29392372
4623,1,2,1,1983,1,10,955173.995264074
4842,5,3,1,1984,1,7,1039446.03968813
2706,2,2,1,1982,0,10,648734.616639658
1560,1,1,1,2021,1,8,365704.071343992
4245,4,3,1,1981,1,8,929537.502825141
1699,5,1,1,2004,0,2,434868.520674974
3747,3,2,1,1957,1,9,862545.538874088
2519,3,1,2,1995,1,4,588818.864131431
1080,4,3,1,1963,1,1,274752.552014697
4066,2,3,2,1957,1,1,859027.060601558
2687,1,1,1,2020,1,5,590190.720593118
4066,5,1,2,2003,0,7,906559.983553681
1466,1,1,1,1970,1,5,325487.910649537
